location_clean,latitude,longitude
dommasandra,12.8777098,77.7534769
doopanahalli,12.9674584,77.6396382
dooravani nagar,12.9948307,77.6768968
double road,12.961074,77.5940558
dr shivarama karantha nagar,,
duddanahalli,13.2737774,77.6030366
duo layout,13.116862,77.5730743
duvasapalya,12.9230351,77.4959631
dwaraka nagar,13.1208483,77.6186871
dwarka nagar,13.0880852,77.4949031
ejipura,12.945245,77.6274776
elachenahalli,,
electronic city,12.8487599,77.648253
electronics city phase,12.8407163,77.6773646
epip zone,12.9781922,77.7246451
escorts colony,13.1023262,77.5859726
esther enclave layout,,
ex servicemen colony dinnur main road r t nagar,,
ferrar nagar,13.1164358,77.5642942
fraser town,13.0027542,77.6157507
frazer town,12.9975851,77.6136744
frazertown,,
friends colony,12.9634532,77.6569219
gandhi bazar,12.9483481,77.5707957
gandhi nagar,12.9771534,77.5800313
ganesha block,13.0253417,77.6019556
ganga nagar,13.0232471,77.5883569
ganga nagar extension,,
ganganahalli,,
gangondanahalli,13.025888,77.4775627
garden layout,12.9721008,77.6184589
garebhavipalya,,
garudachar palya,12.9899098,77.7011259
gattahalli,12.8685628,77.7026913
gattigere,12.9202077,77.5255006
gaundanapalya,,
gaurava nagar,,
gayathri nagar,13.0007574,77.5605988
gb palya,13.0226152,77.7057327
gd layout,,
geddalahalli,13.0367681,77.5675668
geetanjali layout,12.9767102,77.6547468
geleyara balaga layout,13.0712823,77.5061497
gidada konnenahalli,,
giri nagar,12.9168572,77.5860216
gkvk layout,13.0827075,77.6034629
gkw layout,13.0082322,77.5130081
glass factory layout,12.876373,77.5670619
gm palaya,12.974779,77.6654084
gnana bharathi,12.9529035,77.5158003
gokaula extension,,
gokula extension,13.0058913,77.5791562
gollahalli,12.821532,77.5852714
gollarahatti,12.9893002,77.4745667
gollarapalya hosahalli,,
gopal reddy layout,12.9690025,77.6934988
gopalapura,12.9806131,77.5581149
gopalkrishna nagar,,
goraguntepalya,13.0269315,77.54409
gottigere,12.8565317,77.5877237
govindapura,13.0314519,77.617598
govindaraja nagar ward,12.9755632,77.5367385
govindpura,,
govindraja nagar,,
gowdanapalya,12.9082156,77.5577974
green domain layout,12.9728468,77.7148942
green garden layout,12.8727237,77.6451233
green glen layout,12.9269039,77.6701877
green view layout,13.0052378,77.6492182
green woods layout,13.0584954,77.6263659
grihalakshmi layout,,
gubbalala,12.8856635,77.5416809
gubbi cross hennur main road,13.0843481,77.6541567
guddadahalli,12.9578934,77.5464445
gulakamale,12.8037601,77.5284309
gulimangala,12.8492767,77.7001531
guni agrahara,13.0980951,77.525062
gunjur,12.9209772,77.7361016
gunjur palya,12.9228378,77.7188315
hadosiddapura,12.8998139,77.7019238
hagadur,12.9649058,77.7558386
